,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
1490,2021-01-01 16:43,Bethel Music,Endless Alleluia (Live),323346,Bethel Music:Endless Alleluia (Live),1,Victory,2y5w00ZbmGhfp1bQytUtDE
1491,2021-01-01 16:48,David Leonard,I Will Wait - Live,296320,David Leonard:I Will Wait - Live,1,The Wait: Silence The Noise,61w1MUwkJwRYUD4Wxn7dHz
1492,2021-01-01 16:55,The Belonging Co,Hosanna - Live,367225,The Belonging Co:Hosanna - Live,0,,
1493,2021-01-01 16:59,All Sons & Daughters,Great Are You Lord - Live,290413,All Sons & Daughters:Great Are You Lord - Live,1,Live,4PYOh644yKjYyvyVUHqcof
1494,2021-01-01 17:05,Chris McClarney,God Of Miracles - Live,326613,Chris McClarney:God Of Miracles - Live,0,,
1495,2021-01-01 17:19,Hillsong Worship,This I Believe (The Creed) - Live,401760,Hillsong Worship:This I Believe (The Creed) - Live,0,,
1496,2021-01-01 17:37,Kari Jobe,The Blessing - Live,440238,Kari Jobe:The Blessing - Live,1,The Blessing,2elEVvWjPZltkotzcCwKvM
1497,2021-01-02 00:39,Kari Jobe,The Blessing - Live,73975,Kari Jobe:The Blessing - Live,1,The Blessing,2elEVvWjPZltkotzcCwKvM
1498,2021-01-02 00:48,Red Rocks Worship,Breakthrough - Live,567093,Red Rocks Worship:Breakthrough - Live,0,,
1499,2021-01-02 00:54,Kari Jobe,I Am Not Alone - Live,333053,Kari Jobe:I Am Not Alone - Live,0,,
1500,2021-01-02 00:59,UPPERROOM,Rest on Us - Live,325701,UPPERROOM:Rest on Us - Live,0,,
1501,2021-01-02 01:04,Hillsong Worship,King Of Kings - Live,291565,Hillsong Worship:King Of Kings - Live,0,,
1502,2021-01-02 01:09,Passion,More Like Jesus - Live,338694,Passion:More Like Jesus - Live,0,,
1503,2021-01-02 01:13,Jesus Culture,Break Every Chain - Live,211696,Jesus Culture:Break Every Chain - Live,0,,
1504,2021-01-02 02:04,Jesus Culture,Break Every Chain - Live,275809,Jesus Culture:Break Every Chain - Live,0,,
1505,2021-01-02 02:11,Elevation Worship,Do It Again,398427,Elevation Worship:Do It Again,0,,
1506,2021-01-02 02:17,Passion,One Thing Remains - Live,348485,Passion:One Thing Remains - Live,0,,
1507,2021-01-02 02:21,one sonic society,Goodness of God (feat. Vertical Worship),287611,one sonic society:Goodness of God (feat. Vertical Worship),0,,
1508,2021-01-02 02:27,Elevation Worship,It Is So,350358,Elevation Worship:It Is So,0,,
1509,2021-01-02 02:33,Hillsong UNITED,Good Grace - Live,353546,Hillsong UNITED:Good Grace - Live,0,,
1510,2021-01-02 02:40,Corey Voss,Praise Your Name - Live,396840,Corey Voss:Praise Your Name - Live,0,,
1511,2021-01-02 02:48,Bethel Music,God of Revival - Live,515387,Bethel Music:God of Revival - Live,0,,
1512,2021-01-02 02:56,The Belonging Co,Peace Be Still - Live,486944,The Belonging Co:Peace Be Still - Live,0,,
1513,2021-01-02 03:03,Phil Wickham,How Great Is Your Love,394626,Phil Wickham:How Great Is Your Love,0,,
1514,2021-01-02 03:06,Hillsong Worship,Here I Am To Worship - Live,220826,Hillsong Worship:Here I Am To Worship - Live,0,,
1515,2021-01-02 03:16,Cody Carnes,Run To The Father - Live From Motion Conference,560737,Cody Carnes:Run To The Father - Live From Motion Conference,0,,
1516,2021-01-02 03:20,Jesus Culture,Fearless - Live,280519,Jesus Culture:Fearless - Live,0,,
1517,2021-01-02 03:29,Housefires,I’ll Give Thanks - Live,536653,Housefires:I’ll Give Thanks - Live,0,,
1518,2021-01-02 03:37,Elevation Worship,Graves Into Gardens (Live),452499,Elevation Worship:Graves Into Gardens (Live),0,,
1519,2021-01-02 03:41,Bethel Music,Stand in Your Love (Live),248760,Bethel Music:Stand in Your Love (Live),0,,
1520,2021-01-02 03:49,Leeland,Way Maker - Live,503240,Leeland:Way Maker - Live,0,,
1521,2021-01-02 03:54,Bethel Music,Goodness of God (Live),296400,Bethel Music:Goodness of God (Live),0,,
1522,2021-01-02 04:01,Bethel Music,It Is Well - Live,385053,Bethel Music:It Is Well - Live,0,,
1523,2021-01-02 04:08,Bethel Music,Raise a Hallelujah (Live),470880,Bethel Music:Raise a Hallelujah (Live),0,,
1524,2021-01-02 04:13,Passion,How He Loves - Live,283293,Passion:How He Loves - Live,0,,
1525,2021-01-02 04:19,North Point Worship,Death Was Arrested - Live,354493,North Point Worship:Death Was Arrested - Live,0,,
1526,2021-01-02 04:25,Leeland,Better Word - Live,380626,Leeland:Better Word - Live,0,,
1527,2021-01-02 04:30,Mosaic MSC,Tremble - Live,309093,Mosaic MSC:Tremble - Live,0,,
1528,2021-01-02 04:35,Passion,Glorious Day - Live,298520,Passion:Glorious Day - Live,0,,
1529,2021-01-02 04:41,Hillsong Worship,O Praise The Name (Anástasis) - Live,329213,Hillsong Worship:O Praise The Name (Anástasis) - Live,0,,
1530,2021-01-02 04:49,Housefires,Lift You High - Live,477513,Housefires:Lift You High - Live,0,,
1531,2021-01-02 04:57,Jesus Culture,Holy Spirit - Live,489453,Jesus Culture:Holy Spirit - Live,0,,
1532,2021-01-02 05:05,Hillsong Worship,No One But You - Live,522126,Hillsong Worship:No One But You - Live,0,,
1533,2021-01-02 05:13,Hillsong UNITED,Whole Heart (Hold Me Now) - Live,449253,Hillsong UNITED:Whole Heart (Hold Me Now) - Live,0,,
1534,2021-01-02 05:17,Vertical Worship,Yes I Will,234731,Vertical Worship:Yes I Will,0,,
1535,2021-01-02 05:26,Bethel Music,Champion - Live,526890,Bethel Music:Champion - Live,0,,
